,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
1,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
2,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
3,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
4,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
5,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
6,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
7,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
8,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
9,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
10,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
11,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
12,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
13,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
14,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
15,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
16,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
17,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
18,"100 Lives Foundation, Inc.",45-60-79,364808338,NFP,WASHINGTON,DC
19,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,NEW YORK,NY
20,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
21,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
22,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
23,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
24,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
25,"105TH FLOOR HEROES FUND, INC.",21-26-78,020560593,NFP,COLD SPRING HARBOR,NY
26,1068 Franklin Avenue Housing Development Fund Corporation,45-51-94,208317595,NFP,BRONX,NY
27,"106 RQW FRG PO, Inc.",45-62-68,811070262,NFP,WESTHAMPTON,NY
28,106TH STREET OLDTIMERS INC,06-27-32,133990469,NFP,BRONX,NY
29,1070 Anderson Housing Development Fund Corporation,41-80-86,611559082,NFP,NEW YORK,NY
30,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
31,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
32,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
33,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
34,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
35,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
36,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
37,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
38,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
39,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
40,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
41,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
42,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
43,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
44,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
45,BLESSING WAY FOUNDATION,20-76-19,043138834,NFP,NEW YORK,NY
46,BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
47,BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
48,BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
49,BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
50,Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
51,"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
52,"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
53,DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
54,EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
55,Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
56,EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
57,"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
58,Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
59,"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
60,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
61,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
62,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
63,"100 Lives Foundation, Inc.",45-60-79,364808338,NFP,WASHINGTON,DC
64,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,NEW YORK,NY
65,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
66,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
67,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
68,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
69,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
70,"105TH FLOOR HEROES FUND, INC.",21-26-78,020560593,NFP,COLD SPRING HARBOR,NY
71,1068 Franklin Avenue Housing Development Fund Corporation,45-51-94,208317595,NFP,BRONX,NY
72,"106 RQW FRG PO, Inc.",45-62-68,811070262,NFP,WESTHAMPTON,NY
73,106TH STREET OLDTIMERS INC,06-27-32,133990469,NFP,BRONX,NY
74,1070 Anderson Housing Development Fund Corporation,41-80-86,611559082,NFP,NEW YORK,NY
75,BLESSING WAY FOUNDATION,20-76-19,043138834,NFP,NEW YORK,NY
76,BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
77,BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
78,BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
79,BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,011202369,NFP,BROOKLYN,NY
80,Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
81,"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
82,"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
83,DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
84,EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
85,Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
86,EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
87,"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
88,Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
89,"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
90,"For The Win, Inc.",45-46-69,473875560,NFP,GREENVILLE,SC
91,Freedom Fund,44-63-63,300805758,NFP,NEW YORK,NY
92,GERRY HOMES,21-21-45,160755780,NFP,GERRY,NY
93,"Gideon and Claudia Oberweger Family Foundation, Inc.",40-39-03,205916926,NFP,NEW YORK,NY
94,"GLEN CONSERVANCY, LTD",21-21-60,710883483,NFP,FULTONVILLE,NY
95,Heritage Foundation,40-38-82,208465001,NFP,BROOKLYN,NY
96,"HETL Association, Inc.",43-82-58,453307445,NFP,KEW GARDENS,NY
97,High Atlas Foundation,40-50-84,850478294,NFP,NEW YORK,NY
98,"HOMEVILLE MUSEUM, INC.",40-25-93,204130195,NFP,HOMER,NY
99,I Am A Leader Foundation,44-55-63,454625508,NFP,PROVO,UT
100,"I Love Math, Inc.",41-29-81,262609655,NFP,BRONX,NY
101,"INTERNATIONAL ORGANIZATION FOR ADOLESCENTS, INC.",20-98-81,134093883,NFP,CHICAGO,IL
102,ISAIAH J. JONES MEMORIAL FOUNDATION,20-36-56,760736140,NFP,BRONX,NY
103,"Jean Bertrand Foundation For The Disadvantaged, Inc.",42-80-65,800735536,NFP,BROOKLYN,NY
104,JOSEPH LANDAU FREE AID FUND INC,03-55-60,112708982,NFP,WOODMERE,NY
